feature_type,major_group,english_term,english_name,korean_name,meaning_flavor,meaning_source_type,meaning_source_detail,meaning_evidence_level,meaning_last_updated
chemical,효모(Yeast) / 에스터,ethyl_propionate,ethyl propionate,ethyl propionate,"fruity, sweet 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 황(설퍼) 화합물,H2S,hydrogen sulfide,황화수소(H₂S),"eggs, rotten eggs 계열 향/풍미; 기원: Yeast; 분류: Sulfur compound",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 알코올,isoamyl_alcohol,isoamyl alcohol,isoamyl alcohol,"alcoholic, banana 계열 향/풍미; 기원: Yeast; 분류: Alcohol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 알코올,isobutanol,Isobutanol,Isobutanol,"alcoholic 계열 향/풍미; 기원: Yeast, Aging; 분류: Alcohol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,isobutyl_acetate,isobutyl acetate,isobutyl acetate,"banana, sweet, fruity 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,계산/집계(Computed) / 기타,isopentyl_acetate,isopentyl_acetate,이소아밀 아세테이트(이소펜틸 아세테이트),"향/풍미: 바나나·배(pear) 계열의 강한 과일향 (banana-like, pear-like (isoamyl/isopentyl acetate)). 맥주에서 대표적인 발효 에스터로, 농도가 높으면 용제/매니큐어 같은 solventy 인상이 동반될 수 있음",webdb,"web/DB: The Good Scents Company(isoamyl acetate), Wikipedia/ACS molecule of the week",direct,2026-01-22
chemical,효모(Yeast) / 황(설퍼) 화합물,MeSH,methanethiol,메탄티올,"Putrefaction, drains, rotting vegetables 계열 향/풍미; 기원: Malt, Yeast; 분류: Sulfur compound",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,octyl_acetate,octyl acetate,octyl acetate,"coconut, vegetable oil, aromatic 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,phenethyl_acetate,phenethyl acetate,phenethyl acetate,"roses, honey, fruity, floral 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 알코올,phenethyl_alcohol,phenethyl alcohol,phenethyl alcohol,"floral, roses 계열 향/풍미; 기원: Yeast; 분류: Alcohol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 페놀,X4VG,4-vinylguaiacol,4-비닐 가이아콜,"clove, smoky, spicy, phenolic, vanilla 계열 향/풍미; 기원: Yeast, Wood; 분류: Phenol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 황(설퍼) 화합물,SO2.mg.L.,sulfur dioxide,이산화황(SO₂),"sulfytic, burnt matchsticks 계열 향/풍미; 기원: Yeast; 분류: Sulfur compound",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,야생미생물/세균(Wild flora) / 산(유기산),acetic_acid.g.L.,acetic acid,아세트산,"vinegar 계열 향/풍미; 기원: Bacteria; 분류: Acid; 휘발산(식초 노트), 특정 사워/야생발효 스타일에서 특징",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,맥아(Malt) / 무기성분,ammonia.mg.L.,ammonia,ammonia,sour 계열 향/풍미; 기원: Malt; 분류: Inorganic,paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,맥아(Malt) / 기타(물성/집계),color.EBC.,color (EBC),색도(EBC),"향/풍미: 맥주 색도(유럽 표준, EBC) — 맥아 로스팅/카라멜화 정도의 간접 지표 (beer color (EBC)). 맥주에서 값이 높을수록 일반적으로 로스티드/카라멜/토스트 계열 맥아 풍미 기대치가 커짐(스타일 예외는 존재)",webdb,"web/DB: Oxford Companion to Beer(color/EBC), WSET EBC color guide",direct,2026-01-22
chemical,효모(Yeast) / 탄수화물/당,betaglucan.mg.L.,betaglucan,베타-글루칸(β-glucan),"향/풍미: 점도 증가·끈적/슬리미(slime) 마우스필을 유발할 수 있는 다당류 (β-glucans (viscosity, slimy mouthfeel)). 맥주에서 농도가 높으면 점도↑, 여과/헤이즈 문제 및 슬리미한 질감을 유발할 수 있음",webdb,"web/DB: Springer(β-glucans vs dextrins mouthfeel), Wiley(haze: proteins/polyphenols/β-glucans)",direct,2026-01-22
chemical,야생미생물/세균(Wild flora) / 산(유기산),lactic_acid.mg.L.,lactic acid,젖산,"acidic, neutral, pleasant sour 계열 향/풍미; 기원: Bacteria; 분류: Acid; 사워 계열 산미(tart)·요거트 노트",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 탄수화물/당,glycerol,glycerol,글리세롤,"sweet 계열 향/풍미; 기원: Yeast; 분류: Carbohydrate; 효모 대사 산물, 점도/바디감과 은은한 단맛",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,맥아(Malt) / 무기성분,iron,Iron,Iron,metallic 계열 향/풍미; 기원: Malt; 분류: Inorganic,paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,계산/집계(Computed) / 기타(물성/집계),pH,pH,pH(산도),"향/풍미: 산미/상큼함과 관능 밸런스에 영향을 주는 산도 지표 (acidity / taste balance (beer pH)). 맥주에서 pH가 높아지면 쓴맛 지각이 증가할 수 있고, 유기산이 높아지면 사워/타트한 산미가 강화됨",webdb,"web/DB: MDPI(beer taste perception; pH–bitterness), SciDirect(beer pH range/acidic flavor)",direct,2026-01-22
chemical,효모(Yeast) / 기타(물성/집계),protein.g.L.,protein,단백질,"향/풍미: 거품 안정성과 마우스필에 기여하는 맥아 유래 단백질/펩타이드 (beer proteins/peptides (foam stability, mouthfeel)). 맥주에서 단백질/펩타이드는 iso-α acids 등과 상호작용하여 거품 안정성(foam stability)에 크게 기여함",webdb,web/DB: PMC(beer foam stability proteins/peptides),direct,2026-01-22
chemical,홉(Hops) / 산(유기산),bitterness,iso-α acids,이소-알파 산,bitter 계열 향/풍미; 기원: Hops; 분류: Acid; 홉 유래 쓴맛의 핵심(비터니스/IBU),paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,맥아(Malt) / 탄수화물/당,GFS,sugars,당류(GFS),sweet 계열 향/풍미; 기원: Malt; 분류: Carbohydrate,paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 알코올,ethanol..v.v.,ethanol,에탄올,"warming, strong, alcoholic 계열 향/풍미; 기원: Yeast; 분류: Alcohol; 알코올 도수(ABV) 및 휘발성 향 방출/바디감에 큰 영향",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 산(유기산),CO2.PSI.,carbon dioxide,이산화탄소(CO₂),sour 계열 향/풍미; 기원: Yeast; 분류: Acid,paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,맥아(Malt) / 기타(물성/집계),unfermentables,unfermentables,비발효성 당,향/풍미: 비발효성 당(덱스트린 등) — 바디감/잔당감에 기여 (unfermentable extract (dextrins)). 맥주에서 단맛 자체는 강하지 않지만 잔당/점도 형태로 바디감과 mouthfeel을 증가시키는 방향으로 작용,webdb,"web/DB: Springer(dextrins palate fullness), Malteurop(dextrin/unfermentable sugars body)",direct,2026-01-22
chemical,효모(Yeast) / 기타(물성/집계),kcalperc,Caloric value,칼로리 값(열량),"향/풍미: 열량(에너지) 지표 — 알코올·잔당/덱스트린·글리세롤 등과 연동 (caloric value (energy content)). 맥주에서 직접적인 향기 성분이라기보다, 알코올/잔당량과 함께 '바디감' 인상과 간접적으로 동행하는 경우가 많음",webdb,web/DB: General nutrition calculation concept (beer calories correlate with alcohol & residual extract) - web/DB secondary,inferred,2026-01-22
chemical,효모(Yeast) / 알코올,X1.propanol,1-propanol,1-propanol,"alcoholic, solvent-like 계열 향/풍미; 기원: Yeast; 분류: Alcohol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 케톤,X2.3.butanedione,"2,3-butanedione","디아세틸(2,3-부탄디온)","butterscotch, buttery 계열 향/풍미; 기원: Yeast, Aging; 분류: Ketone",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,맥아(Malt) / 알코올,X3.methylbutanal,3-methylbutanal,3-methylbutanal,"malt, cherry, almond, chocolate 계열 향/풍미; 기원: Malt, Aging; 분류: Alcohol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,기타(숙성/향신료/첨가) / 기타(물성/집계),propylene.glycol,propylene glycol,프로필렌 글라이콜,"향/풍미: 거의 무취이며 약한 단맛(및 약한 쓴맛) — 주로 용매/캐리어 성격 (nearly odorless; faintly sweet taste (propylene glycol)). 맥주에서 향기 성분이라기보다 용매/점도 성분으로 작동하며, 관능적으로는 중립적 성향",webdb,web/DB: Wikipedia(propylene glycol sweet taste/odorless) + PMC(taste slightly sweet; PG also bitter),direct,2026-01-22
chemical,효모(Yeast) / 에스터,propyl.acetate,n-propyl acetate,n-propyl acetate,"solvent, sweet, perfumed 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 알코올,n.pentanol,n-pentanol,n-pentanol,"sweet, aromatic, perfumed 계열 향/풍미; 기원: Yeast; 분류: Alcohol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 알코올,X2.methyl.1.butanol,2-methyl-1-butanol,2-methyl-1-butanol,"malty, alcoholic, banana 계열 향/풍미; 기원: Yeast; 분류: Alcohol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,isopentyl.formate,isopentyl formate,isopentyl formate,"plum, solvent-like 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,ethyl.isobutyrate,ethyl isobutyrate,ethyl isobutyrate,"apple, sweet, citrus, fruity 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 알데하이드,X3.methyl.2.butenal,3-methyl-2-butenal,3-methyl-2-butenal,"fruity, nutty 계열 향/풍미; 기원: Yeast; 분류: Aldehyde",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,맥아(Malt) / 케톤,X2.methyltetrahydrofuran.3.one,2-methyltetrahydrofuran-3-one,2-methyltetrahydrofuran-3-one,"bready, nutty 계열 향/풍미; 기원: Malt, Aging; 분류: Ketone",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,ethyl.butyrate,ethyl butyrate,ethyl butyrate,"papaya, butter, sweet, fruity 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,butyl.acetate,butyl acetate,butyl acetate,"solvent-like, banana, acetone, sweet 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,맥아(Malt) / 피라진(로스티/견과),methylpyrazine,methylpyrazine,methylpyrazine,"nutty, roasted, musty 계열 향/풍미; 기원: Malt; 분류: Pyrazine",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,맥아(Malt) / 알데하이드,furfural,furfural,furfural,"caramel, bread 계열 향/풍미; 기원: Malt, Aging, Wood; 분류: Aldehyde",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,ethyl.lactate,ethyl lactate,ethyl lactate,"strawberry, raspberry 계열 향/풍미; 기원: Yeast, Aging; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,홉(Hops) / 알코올,X3Z.hexenol,cis-3-hexenol,cis-3-hexenol,"green, grassy 계열 향/풍미; 기원: Hops; 분류: Alcohol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 알코올,n.hexanol,n-hexanol,n-hexanol,"coconut, fruity, green 계열 향/풍미; 기원: Yeast; 분류: Alcohol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 기타(물성/집계),styrene,styrene,styrene,"balsamic, sweet, plastic 계열 향/풍미; 기원: Yeast; 분류: Miscellaneous",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,기타(숙성/향신료/첨가) / 알코올,X2.furanmethanol,furfuryl alcohol,furfuryl alcohol,"sugar cane, woody 계열 향/풍미; 기원: Aging; 분류: Alcohol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 알코올,X3.methyl.2.hexanol,3-methyl-2-hexanol,3-메틸-2-헥사놀,"향/풍미: 와이니(winey)·알코올릭 + 그린 노트(유사 알코올 기반; 근거 제한) (winey / alcoholic (inferred from 2-hexanol)). 맥주에서 직접 기술이 제한적이라, 유사 2-hexanol의 winey odor를 참고해 보수적으로 기술",webdb,web/DB: The Good Scents Company(2-hexanol: winey) (analog),inferred,2026-01-22
chemical,맥아(Malt) / 알코올,X3.furanmethanol,3-furanmethanol,푸르푸릴 알코올(3-푸란메탄올),"향/풍미: 카라멜·빵·커피·토스트(로스티) 계열 (caramel/bready/coffee (furfuryl alcohol)). 맥주에서 마이야르/열 반응 계열 성분으로, 토스트·카라멜 같은 '브라운' 노트에 연결됨",webdb,"web/DB: The Good Scents Company(furfuryl alcohol odor/flavor), PMC(brown sugar: furfuryl alcohol caramel/toast)",direct,2026-01-22
chemical,맥아(Malt) / 푸란/마이야르계,X2.acetylfuran,2-acetylfuran,2-acetylfuran,"almond, rubber, burnt 계열 향/풍미; 기원: Malt, Aging; 분류: Furan",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,맥아(Malt) / 피라진(로스티/견과),X2.6.dimethyl.pyrazine,"2,6-dimethylpyrazine","2,6-dimethylpyrazine","ethereal, cocoa, nutty 계열 향/풍미; 기원: Malt; 분류: Pyrazine",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,amyl.acetate,amyl acetate,amyl acetate,"fruity, pear, banana 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,ethyl.tiglate,ethyl tiglate,ethyl tiglate,"fruity, berry, tutti frutti 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 알데하이드,benzaldehyde,benzaldehyde,benzaldehyde,"almond, fruity cherry 계열 향/풍미; 기원: Yeast, Aging; 분류: Aldehyde",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,맥아(Malt) / 알데하이드,X5.methylfurfural,5-methylfurfural,5-methylfurfural,"almond, marzipan 계열 향/풍미; 기원: Malt, Wood; 분류: Aldehyde",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 알코올,n.heptanol,n-heptanol,n-heptanol,"coconut, solvent 계열 향/풍미; 기원: Yeast; 분류: Alcohol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 알코올,X1.octen.3.ol,1-octen-3-ol,1-octen-3-ol,"green, earthy, mushroom, metallic 계열 향/풍미; 기원: Yeast; 분류: Alcohol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,기타(숙성/향신료/첨가) / 황(설퍼) 화합물,X3.methylthio.propanol,methionol,methionol,potato 계열 향/풍미; 기원: Aging; 분류: Sulfur compound,paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,맥아(Malt) / 푸란/마이야르계,isomaltol,isomaltol,isomaltol,"caramel, burnt 계열 향/풍미; 기원: Malt; 분류: Furan",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 케톤,X6.methyl.5.hepten.2.one,methyl heptenone,methyl heptenone,"citrus, fruity 계열 향/풍미; 기원: Yeast; 분류: Ketone",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,맥아(Malt) / 푸란/마이야르계,X2.pentyl.furan,2-pentyl furan,2-pentyl furan,"fruity, green, metallic 계열 향/풍미; 기원: Malt; 분류: Furan",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,ethyl.hex..3E..enoate,ethyl 3-hexenoate,ethyl 3-hexenoate,"green, fruity 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,홉(Hops) / 테르페노이드(홉/향료),alpha.phellandrene,α-phellandrene,α-phellandrene,"terpentine, pepper, citrus 계열 향/풍미; 기원: Hops, Spices; 분류: Terpenoid",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,홉(Hops) / 테르페노이드(홉/향료),dehydroxy.cis.linalool.oxide,dehydroxy-cis-linalool oxide,데하이드록시 리날룰 옥사이드,"향/풍미: 그린·쿨링 + 스파이시/허브·민트 뉘앙스 (green, cooling, spicy, herbaceous with mint nuance (dehydroxylinalool oxide)). 맥주에서 민트/유칼립투스 계열 구성에 사용된다고 기술됨",webdb,web/DB: The Good Scents Company(dehydroxylinalool oxide odor description),direct,2026-01-22
chemical,효모(Yeast) / 에스터,hexyl.acetate,hexyl acetate,hexyl acetate,"sweet, aromatic, perfumed 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,isopentyl.butanoate,isopentyl butanoate,isopentyl butanoate,"fruity, green, apricot 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 알코올,X2.ethyl.1.hexanol,2-ethyl-1-hexanol,2-ethyl-1-hexanol,citrus 계열 향/풍미; 기원: Yeast; 분류: Alcohol,paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,홉(Hops) / 테르페노이드(홉/향료),beta.phellandrene,β-phellandrene,β-phellandrene,"pine, terpentine, fruity, spicy 계열 향/풍미; 기원: Hops; 분류: Terpenoid",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,홉(Hops) / 테르페노이드(홉/향료),limonene,limonene,limonene,"citrus, orange, green, fruity 계열 향/풍미; 기원: Spices, Hops; 분류: Terpenoid",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,홉(Hops) / 테르페노이드(홉/향료),eucalyptol,eucalyptol,eucalyptol,herbal 계열 향/풍미; 기원: Hops; 분류: Terpenoid,paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,홉(Hops) / 알코올,benzyl.alcohol,benzyl alcohol,benzyl alcohol,"almond, bitter, chemical fruity cherry balsamic 계열 향/풍미; 기원: Hops; 분류: Alcohol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,ethyl.hex..2E..enoate,ethyl 2-hexenoate,에틸 2-헥세노에이트,"향/풍미: 럼(rum) 같은 톤 + 과일·그린·스위트 (rum-like; fruity, green, sweet (ethyl 2-hexenoate)). 맥주에서 에스터류로 열대과일/사과/베리 계열 톱노트에 사용되는 것으로 보고됨",webdb,web/DB: The Good Scents Company / Perflavory (ethyl 2-hexenoate odor description),direct,2026-01-22
chemical,효모(Yeast) / 알데하이드,phenylacetaldehyde,phenylacetaldehyde,phenylacetaldehyde,"floral, honey 계열 향/풍미; 기원: Yeast, Aging; 분류: Aldehyde",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,홉(Hops) / 테르페노이드(홉/향료),X.E..beta.ocimene,E-β-ocimene,E-β-ocimene,"citrus, terpene 계열 향/풍미; 기원: Hops; 분류: Terpenoid",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,prenyl.isobutyrate,prenyl isobutyrate,prenyl isobutyrate,"fruity, berry 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,맥아(Malt) / 에스터,ethyl.furoate,ethyl furoate,에틸 푸로에이트,"향/풍미: 자두(plum)·플로럴 톤(문헌) + 푸란 에스터 특유의 달콤/구운 뉘앙스 (plum, floral (reported) + furan ester notes). 맥주에서 푸란계 에스터로 일부 주류(셰리 등) 향 성분 테이블에서 plum/floral로 기술됨",webdb,web/DB: PMC Sherry aroma review (ethyl furoate: plum/floral) + GoodScents(furan esters examples),direct,2026-01-22
chemical,효모(Yeast) / 페놀,ortho.cresol,o-cresol,o-cresol,"phenolic, medicinal 계열 향/풍미; 기원: Yeast; 분류: Phenol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,ethyl.5.methylhexanoate,ethyl 5-methylhexanoate,에틸 5-메틸헥사노에이트,"향/풍미: 과일 + 카라멜 톤 (fruity, caramel (ethyl 5-methylhexanoate)). 맥주에서 발효/숙성 향 프로파일에서 과일-달콤(카라멜릭) 방향의 노트로 보고됨",webdb,"web/DB: PMC/Heliyon 2024 (reported as fruity, caramel)",direct,2026-01-22
chemical,맥아(Malt) / 기타,X2.acetylpyrrole,2-acetylpyrrole,2-acetylpyrrole,"walnut, liquorice 계열 향/풍미; 기원: Malt; 분류: Pyrrole",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,야생미생물/세균(Wild flora) / 에스터,isoamyl.lactate,isoamyl lactate,isoamyl lactate,fruity 계열 향/풍미; 기원: Bacteria; 분류: Ester,paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 알코올,n.octanol,n-octanol,n-octanol,"coconut, walnut, oily 계열 향/풍미; 기원: Yeast; 분류: Alcohol",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,홉(Hops) / 테르페노이드(홉/향료),cis.linalool.oxide,cis-linalool oxide,시스 리날룰 옥사이드,"향/풍미: 흙내/우디 + 플로럴·스위트 (earthy, floral, sweet, woody (cis-(Z)-linalool oxide, furanoid)). 맥주에서 홉/식물성 테르펜 산화물 계열로, floral/woody 계열 톱노트에 기여할 수 있음",webdb,web/DB: The Good Scents Company((Z)-linalool oxide furanoid odor),direct,2026-01-22
chemical,홉(Hops) / 테르페노이드(홉/향료),meta.cymenene,meta-cymenene,메타-시멘(m-cymene),"향/풍미: 허브/타임 계열에서 나타나는 시트러스-아로마틱 노트 (citrus-like aromatic (m-cymene)). 맥주에서 홉/허브 오일 구성 성분으로 보고되며, 테르페닉·우디·허브 배경향에 기여 가능",webdb,web/DB: Supplier/chemical factsheets describing m-cymene pleasant citrus-like odor (web),inferred,2026-01-22
chemical,기타(숙성/향신료/첨가) / 테르페노이드(홉/향료),terpinolene,terpinolene,terpinolene,"woody, fruity, piney 계열 향/풍미; 기원: Spices; 분류: Terpenoid",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,홉(Hops) / 테르페노이드(홉/향료),linalool,linalool,linalool,"floral, fruity, citrus, rosewood 계열 향/풍미; 기원: Yeast, Hops, Spices; 분류: Terpenoid",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,홉(Hops) / 알코올,nonan.2.ol,2-nonanol,2-nonanol,coconut 계열 향/풍미; 기원: Hops; 분류: Alcohol,paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 알데하이드,n.nonanal,n-nonanal,n-nonanal,"bitter, astringent, cardboard 계열 향/풍미; 기원: Yeast; 분류: Aldehyde",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,맥아(Malt) / 푸란/마이야르계,X2.methyl.benzofuran,2-methyl-benzofuran,2-메틸벤조푸란,"향/풍미: 탄내/토스트 + 페놀릭(훈연·약품 느낌) 노트 (burnt phenolic (2-methylbenzofuran)). 맥주에서 구움/토스팅 과정에서 나타날 수 있는 'toasted' 노트와 연결되며, JECFA 사양에도 burnt phenolic aroma로 기재됨",webdb,web/DB: FAO JECFA specification (burnt phenolic aroma) + The GoodScentsCompany(burnt phenolic),direct,2026-01-22
