beer,beer_id,tasting_category_fine,part,fold
159,5411686700668,Flanders old brown,outer_test,4
146,54004009,Scotch,outer_test,4
125,5413963300011,Blond,outer_test,4
202,5425029020047,Stout/Porter,outer_test,4
213,5410783004099,Hoppy,outer_test,4
240,5410783004594,Tripel,outer_test,4
189,5410228145912,Tripel,outer_test,4
59,5425005660601,Blond,outer_test,4
224,5410228141884,Wheat,outer_test,4
176,5411858000183,West Flanders ale,outer_test,4
29,5410702000331,Saison,outer_test,4
81,8715608222557,Pils/Lager,outer_test,4
19,5425030060032,Amber,outer_test,4
2,5410228142003,Low/No alcohol,outer_test,4
63,701197206052,Amber,outer_test,4
135,5410908000029,Tripel,outer_test,4
237,5400000000008,Brown,outer_test,4
232,5411686700637,Kriek,outer_test,4
205,793573165763,Brut,outer_test,4
210,5413982001005,Amber,outer_test,4
94,5412186003013,Blond,outer_test,4
26,54125032,West Flanders ale,outer_test,4
211,5411223030050,Lambic,outer_test,4
121,5414239000093,Blond,outer_test,4
140,54050082,Tripel,outer_test,4
95,5412138303314,Christmas,outer_test,4
91,8711406995495,Strong ale,outer_test,4
61,5410702001314,Stout/Porter,outer_test,4
103,5425024150108,Stout/Porter,outer_test,4
216,5410228201076,Scotch,outer_test,4
97,5411676700005,Hoppy,outer_test,4
184,5412783055019,Fruitbeer,outer_test,4
167,5411858000077,Flanders old brown,outer_test,4
22,5411663001276,Wheat,outer_test,4
175,5410263013665,Strong ale,outer_test,4
102,5411911001768,Christmas,outer_test,4
194,5411098730307,Dubbel,outer_test,4
231,5425025390090,Stout/Porter,outer_test,4
50,5411223030043,Fruitbeer,outer_test,4
166,5425029020252,Saison,outer_test,4
49,5410228208358,Blond,outer_test,4
48,8711406995211,Dubbel,outer_test,4
221,5412896000067,Dubbel,outer_test,4
105,5425006700405,Strong ale,outer_test,4
25,54079014,Brown,outer_test,4
