feature,ks_stat,p_value
pentyl.octanoate,0.49,1.6477446235204806e-29
X.E..beta.farnesene,0.2625,1.631660725767663e-08
X2.methylbutyl.octanoate,0.3525,3.785111197453443e-15
alpha.humulene,0.55,1.5112657010182154e-37
neryl.propanoate,0.25,9.373679355591923e-08
X9.epi..E..caryophyllene,0.425,4.733282090658373e-22
ethyl..E..cinnamate,0.265,1.1379283602422221e-08
linalool.isovalerate,0.3125,6.0741090703162054e-12
alpha.terpinyl.isobutanoate,0.175,0.0005308357569488482
n.dodecanol,0.295,1.1368675236203857e-10
germacrene.D,0.24,3.5605076789460665e-07
X.E..beta.ionone,0.375,3.8845725475963675e-17
valencene,0.625,2.569453332465178e-49
neryl.isobutanoate,0.2625,1.631660725767663e-08
E.methyl.isoeugenol,0.29,2.5402164120077263e-10
X.Z..dihydro.apofarnesal,0.285,5.593719176379822e-10
butylated.hydroxytoluene,0.2425,2.5640206061354e-07
X.E..dihydro.apofarnesal,0.31,9.333163655042091e-12
Z.nerolidol,0.73,1.4247853880211407e-69
X.E..ortho.methoxy.cinnamaldehyde,0.36,8.515654129464636e-16
alpha.calacorene,0.4175,2.8622852178877623e-21
E.nerolidol,0.2425,2.5640206061354e-07
dihydroisocaryophyllene.epoxide,0.355,2.310935718924183e-15
caryophyllene.alcohol,0.44,1.1586535699306233e-23
neryl.isovalerate,0.32,1.6375240283189414e-12
spathulenol,0.5075,9.800781310234099e-32
caryophyllene.oxide,0.32,1.6375240283189414e-12
humulene.epoxide.II,0.5175,4.745692814799091e-33
alloaromadendrene.epoxide,0.355,2.310935718924183e-15
X1.10.di.epi.cubenol,0.57,1.7239809121288995e-40
isopropyl.laurate,0.34,4.214337327417989e-14
caryophylla.4.12..8.13..dien.5.alpha.ol,0.1925,9.352916216802442e-05
gamma.eudesmol,0.375,3.8845725475963675e-17
alpha.muurolol,0.3475,1.0038973940978993e-14
X1.2.dihydro.8.hydroxy..2E..linalool,0.2175,5.833305728719634e-06
tau.cadinol,0.22,4.3359415940486165e-06
selin.11.en.4.alpha.ol,0.35,6.176057267364492e-15
alpha.eudesmol,0.3775,2.2906981014017542e-17
X14.hydroxy.9.epi..E..caryophyllene,0.145,0.007041594267935141
tau.muurolol,0.26,2.3312500046609637e-08
n.tetradecanol,0.43,1.3971797968015688e-22
foeniculin,0.62,1.8145566299225125e-48
cadalene,0.2375,4.926809132735795e-07
X2.3.dihydro.farnesol,0.1875,0.00015626795445660205
X2E.6Z.farnesal,0.515,1.0186351259442479e-32
caryophyllene.acetate,0.3775,2.2906981014017542e-17
X14.hydroxy.alpha.humulene,0.2375,4.926809132735795e-07
X2Z.6E.farnesal,0.28,1.214004316129806e-09
X2Z.6Z.farnesol,0.475,1.1207782114037702e-27
X2Z.6E.farnesol,0.4025,9.383029053607102e-20
ambroxide,0.4925,8.030852946398541e-30
benzyl.benzoate,0.59,1.4271793480745871e-43
X2E.6E.methyl.farnesoate,0.33,2.7069886059800647e-13
ethyl.tetradecanoate,0.51,4.6290512300500326e-32
X2.ethylhexylsalicylate,0.2125,1.0447705977863681e-05
isopropyl.tetradecanoate,0.52,2.2008103362585922e-33
ethyl.pentadecanoate,0.145,0.007041594267935141
methyl.hexadecanoate,0.395,5.08937988499931e-19
Z.Z.geranyl.linalool,0.145,0.007041594267935141
ethyl.hexadecanoate,0.3875,2.6636631601762704e-18
manool.oxide,0.2075,1.8452859828819583e-05
X13.epi.manool.oxide,0.2625,1.631660725767663e-08
isopropyl.hexadecanoate,0.275,2.5968656979457667e-09
manool,0.2075,1.8452859828819583e-05
ethyl.octadecanoate,0.2525,6.65506930385444e-08
ethyl.pentanoate,0.405,5.297893899383846e-20
X2.ethyl.3.methylpyrazine,0.485,6.845210352961305e-29
esters_sum,0.1925,9.352916216802442e-05
aroma_hops_sum,,
acids_sum,0.3125,6.0741090703162054e-12
sulfur_sum,0.44,1.1586535699306233e-23
